,Real Entropy,RoG,Jump (median),Num_of_loc,Num_of_days,Frequency (top1),Random Entropy,RoG k2,RoG k4,RoG k8,Median from Home
15,1.3022968652028395,4.085285653140232,103.24077006095216,3,29 days 22:40:27,0.9844853196105328,1.584962500721156,4.394709236866469,4.085285653140232,4.085285653140232,103.24077006095216
16,1.0608752236418657,9783.800410646303,42014.7991202203,6,29 days 23:36:27,0.6598145516826881,2.584962500721156,10834.974784951335,10090.151117720708,9783.800410646303,42014.7991202203
17,2.362050308836104,1420.160023009859,12378.167499689444,16,29 days 22:24:49,0.7648739178026895,4.0,1505.3286413671913,1657.6867264417465,1540.8495879721015,14281.666228593447
20,1.3539303032051289,2240.79893315176,15402.966863139489,6,29 days 22:30:44,0.7663420246466077,2.584962500721156,2484.117058574733,2314.2023311694124,2240.79893315176,15402.966863139489
21,2.496374758357945,940.3147906165278,3724.128574158924,23,29 days 23:53:35,0.6372196487518401,4.523561956057013,1266.118822736017,1079.7908593205557,1018.96615101672,2602.5625203529607
22,2.166317231085845,686.6721977730492,6545.555993019235,13,28 days 17:13:34,0.7947807000927771,3.700439718141092,713.5871518157142,665.4398298266854,723.6993832392621,6908.670708932502
23,2.228805701566865,1488.0065284665584,4597.037877205169,13,29 days 23:58:34,0.8031034208696739,3.700439718141092,2019.0368308045104,1808.8182719481367,1636.5752085840045,4597.037877205169
25,2.3783592378131417,106.58743604280374,5778.707932010088,6,28 days 23:08:03,0.8334570104971742,2.584962500721156,99.2256258484096,107.5361519664255,106.58743604280374,5778.707932010088
26,2.6237358430006203,1574.4628986749494,251.77575201606624,12,29 days 17:43:44,0.5848373020568034,3.584962500721156,3541.7234360243992,2147.03521401026,1680.5059357747775,5533.358175314907
27,2.515098649350314,76.72318935386566,2109.815395451365,14,28 days 21:07:45,0.9301456959481258,3.807354922057604,50.90151295728521,77.72734504846052,80.18803409081154,2174.993595065634
28,2.296203252885145,2080.82437284955,10602.062837978116,19,27 days 20:08:50,0.4401017739769595,4.247927513443585,2371.5164789818523,2402.609007705847,2271.321217640869,10602.062837978116
29,1.9645127704033465,1057.2659360772152,10386.111957171976,6,29 days 23:27:12,0.8741343736293605,2.584962500721156,796.6742715164863,981.7113456692996,1057.2659360772152,13075.970869356956
30,1.912405582860237,2975.9828573013374,8468.069704225862,13,29 days 23:44:06,0.6332257320016703,3.700439718141092,3408.273593178092,3269.9251017469346,3130.0823592456863,7669.232840321489
32,2.701636582565253,2039.9625880606736,1811.430896214762,19,29 days 23:46:09,0.686106541101719,4.247927513443585,2253.939409807748,2496.728471126878,2270.188399715425,16901.17869939589
33,1.7347416233819974,1935.3992416252595,8685.231644649066,10,29 days 23:45:18,0.6846203067556167,3.321928094887362,2130.363352843213,2159.866636264712,2012.2410661133367,8685.231644649066
35,2.136487708682328,2190.438535251583,3178.7173595420595,18,29 days 20:50:12,0.440525348250725,4.169925001442312,2825.575334133613,2535.988215682396,2352.7145973406864,8734.089293027302
36,3.2406858951693085,2852.3111394854063,7742.120080793347,20,29 days 11:16:23,0.3842155100399304,4.321928094887363,4297.871835105279,4147.379818873374,3586.308233794284,13088.386366036912
41,2.0,153.01984134492085,1328.239927164154,6,27 days 21:00:32,0.9824242494701948,2.584962500721156,36.13500007249498,152.3181060827521,153.01984134492085,1328.239927164154
42,1.8461538461538465,1039.27063022087,3783.183532348117,4,27 days 15:36:00,0.5683201058201058,2.0,1185.215575311563,1039.27063022087,1039.27063022087,3917.967528092777
43,1.542559732943772,1900.3799203735944,5745.082040428824,8,28 days 17:53:35,0.7948438063065331,3.0,2352.125137993089,1966.816110706338,1900.3799203735944,5745.082040428824
44,2.211596964877049,6385.271400943962,10436.06180827876,14,29 days 22:38:03,0.3601550472095406,3.807354922057604,8593.297991970645,7590.658906409913,6784.42655410424,10436.06180827876
45,3.000838499786226,1044.7467546868852,9245.23140953774,25,29 days 22:51:30,0.7293973082318027,4.643856189774724,1111.458659190575,1183.1124082950223,1190.641010045161,10620.254113708032
46,2.163670549951364,1481.7247003626912,489.9445794368193,10,28 days 17:03:54,0.7771223001861621,3.321928094887362,1465.394420954926,1635.962228027888,1510.1743269859917,15298.426216013511
47,1.9098394212029133,1480.4903951329502,10249.265001556689,11,28 days 21:02:35,0.7238587469513478,3.4594316186372973,1758.965670535164,1681.7529012759528,1543.921645359031,10603.03931464261
48,2.005968164975213,2713.3283426439752,6516.935156891291,21,29 days 22:51:08,0.6892894073422601,4.392317422778761,3379.359388329223,3121.295353831984,2982.497921508055,5445.250545477881
50,1.2174445337710882,206.84747764176768,1688.5790339483035,3,29 days 12:52:21,0.937375119565852,1.584962500721156,197.9500085318908,206.84747764176768,206.84747764176768,1688.5790339483035
51,1.6309162622216464,509.22026649630754,1883.642890994432,5,29 days 23:42:59,0.9185234615950189,2.321928094887362,200.2245026590908,534.78297465914,509.22026649630754,1883.642890994432
55,1.3125246952964476,1704.8497966809823,10082.610659190976,7,29 days 23:42:24,0.7623974119085554,2.807354922057604,1904.914707723686,1826.070943134692,1704.8497966809823,10082.610659190976
56,2.262769964452952,387.2023004344865,3479.4771062804075,15,29 days 23:46:35,0.9043958482476232,3.906890595608519,250.7618674232367,240.66609653325767,379.5512004483839,4440.045612101709
57,1.1389515450415206,2913.9658043563336,10675.367642748532,6,29 days 23:47:42,0.7230959277757324,2.584962500721156,3173.2636343281315,2972.8250221036947,2913.9658043563336,10675.367642748532
59,2.7848299562521186,471.1423020709023,5288.489612767769,27,29 days 20:53:15,0.7557349576390221,4.754887502163468,238.64112581490872,382.7354272191514,475.4383932806304,5288.489612767769
60,2.280495212913482,247.58578921059484,166.4928220804455,15,29 days 23:28:46,0.8399757386320202,3.906890595608519,158.65826948879476,164.36381855918484,236.88266310137183,1348.6591304862109
62,2.1071519739092275,820.5274307995384,8164.85608649897,12,29 days 23:41:15,0.8922726877985236,3.584962500721156,921.8937594108106,929.6560140828086,889.549296095401,8164.85608649897
